search_term,sp500no,Company Name,link
Fifth Third Bancorp,185,Fifth Third Bancorp,https://www.youtube.com/user/fifththirdbank
FMC Corporation,187,FMC Corporation,https://www.youtube.com/channel/UCQGD4OLXpXJfojFKAVomelA
Fox,188,Fox Corporation Class A,https://www.youtube.com/c/FoxNews
Fortinet,191,"Fortinet, Inc.",https://www.youtube.com/channel/UCJHo4AuVomwMRzgkA5DQEOA
General Dynamics,193,General Dynamics Corporation,https://www.youtube.com/c/GeneralDynamicsOrdnanceandTacticalSystems
General Electric,194,General Electric Company,https://www.youtube.com/user/ge
Gilead Sciences,195,"Gilead Sciences, Inc.",https://www.youtube.com/channel/UCNSt7PtsfNGbezR9hmvRI1w
General Mills,196,"General Mills, Inc.",https://www.youtube.com/user/generalmills
Corning,198,Corning Inc,https://www.youtube.com/user/CorningIncorporated
General Motors,199,General Motors Company,https://www.youtube.com/user/gmblogs
Generac Holdings,200,Generac Holdings Inc.,https://www.youtube.com/user/Generacpowersystems
Global Payments,203,Global Payments Inc.,https://www.youtube.com/channel/UCg9HiItBheBjWJcOBE8q9HQ
Gap,204,"Gap, Inc.",https://www.youtube.com/user/Gap
Goldman Sachs Group,206,"Goldman Sachs Group, Inc.",https://www.youtube.com/user/goldmansachs
W.W. Grainger,207,"W.W. Grainger, Inc.",https://www.youtube.com/channel/UC1EXGMfoklkkEgPzyqRWw4A
Halliburton,208,Halliburton Company,https://www.youtube.com/c/halliburton
Hasbro,209,"Hasbro, Inc.",https://www.youtube.com/c/Hasbro
Huntington Bancshares,210,Huntington Bancshares Incorporated,https://www.youtube.com/user/huntingtonbank
Hanesbrands,211,Hanesbrands Inc.,https://www.youtube.com/c/hanes
HCA Healthcare,212,HCA Healthcare Inc,https://www.youtube.com/user/HCAhealthcare
Home Depot,213,"Home Depot, Inc.",https://www.youtube.com/c/HOMEDEPOT
Hess,214,Hess Corporation,https://www.youtube.com/user/HessCorporation
Hartford Financial Services Group,216,"Hartford Financial Services Group, Inc.",https://www.youtube.com/user/thehartford
Huntington Ingalls Industries,217,"Huntington Ingalls Industries, Inc.",https://www.youtube.com/channel/UCIX5wJ6wai-zFzkZq-5-ZBw
Hilton Worldwide Holdings,218,Hilton Worldwide Holdings Inc,https://www.youtube.com/user/hiltonworldwide
Hologic,219,"Hologic, Inc.",https://www.youtube.com/channel/UChrzlPhyLwmBUgjFAUHc0qQ
Honeywell International,220,Honeywell International Inc.,https://www.youtube.com/user/Honeywell
Hewlett Packard Enterprise,221,Hewlett Packard Enterprise Co.,https://www.youtube.com/c/HPE
HP,222,HP Inc.,https://www.youtube.com/channel/UCqcEzOKaA4nc0gISklN0Ryw
Hormel Foods,223,Hormel Foods Corporation,https://www.youtube.com/channel/UCoxIAxNie9GVKD2Fq0QLjTw
Henry Schein,224,"Henry Schein, Inc.",https://www.youtube.com/user/henryscheinInc
Hershey,226,Hershey Company,https://www.youtube.com/c/hersheycompany
Humana,227,Humana Inc.,https://www.youtube.com/c/humana
International Business Machines,229,International Business Machines Corporation,https://www.youtube.com/c/ibm
International Flavors & Fragrances,233,International Flavors & Fragrances Inc.,https://www.youtube.com/c/InternationalFlavorsFragrancesInc
Illumina,234,"Illumina, Inc.",https://www.youtube.com/channel/UCxWMU29FF4kIG8YmQf6Zv0g
IHS Markit,236,IHS Markit Ltd.,https://www.youtube.com/channel/UCfXvCHeuAzcYIrR8WeHJgSw
Intel,237,Intel Corporation,https://www.youtube.com/channel/UCk7SjrXVXAj8m8BLgzh6dGA
Intuit,238,Intuit Inc.,https://www.youtube.com/user/intuit
IPG Photonics Corporation,241,IPG Photonics Corporation,https://www.youtube.com/channel/UCG_B_G2LPc1h2J2qg40RCMg
IQVIA Holdings,242,IQVIA Holdings Inc,https://www.youtube.com/channel/UCJalKbf6yC7ZQzA3qnPZtmg
Ingersoll Rand,243,Ingersoll Rand Inc.,https://www.youtube.com/user/irtoolscom
Iron Mountain,244,"Iron Mountain, Inc.",https://www.youtube.com/channel/UCu5Cs9TET9LydgVymChdWjw
Intuitive Surgical,245,"Intuitive Surgical, Inc.",https://www.youtube.com/c/Intuitive
Gartner,246,"Gartner, Inc.",https://www.youtube.com/user/Gartnervideo
Invesco,248,Invesco Ltd.,https://www.youtube.com/c/Invesco
Jacobs Engineering Group,249,Jacobs Engineering Group Inc.,https://www.youtube.com/user/jacobsworldwide
J.B. Hunt Transport Services,250,"J.B. Hunt Transport Services, Inc.",https://www.youtube.com/channel/UCmEW8-aYb8KEhn7q2wDWF5w
Johnson & Johnson,253,Johnson & Johnson,https://www.youtube.com/user/JNJhealth
Juniper Networks,254,"Juniper Networks, Inc.",https://www.youtube.com/user/JuniperNetworks
